hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
HP_0000012	Urinary urgency	urinary urgency	True	594.6	Urinary urgency	urinary urgency	Genitourinary
HP_0000012	Overactive bladder	overactive bladder	False	596.2	Overactive bladder	overactive bladder	Genitourinary
HP_0000017	Nocturia	nocturia	True	594.41	Nocturia	nocturia	Genitourinary
HP_0000019	Urinary hesitancy	urinary hesitancy	True	594.11	Urinary hesitancy	urinary hesitancy	Genitourinary
HP_0000020	Urinary incontinence	urinary incontinence	True	594.3	Urinary incontinence	urinary incontinence	Genitourinary
HP_0000023	Inguinal hernia	inguinal hernia	True	520.11	Inguinal hernia	inguinal hernia	GI
HP_0004299	Hernia of the abdominal wall	hernia of the abdominal wall	True	520.1	Hernia of the abdominal wall	hernia of the abdominal wall	GI
HP_0000024	Prostatitis	prostatitis	True	601.1	Prostatitis	prostatitis	Genitourinary
HP_0000027	Azoospermia	azoospermia	True	609.1	Azoospermia	azoospermia	Genitourinary
HP_0000039	Epispadias	epispadias	True	771.27	Epispadias	epispadias	Cong
HP_0000047	Hypospadias	hypospadias	True	771.21	Hypospadias	hypospadias	Cong
HP_0008736	Hypoplasia of penis	hypoplasia of penis	True	771.23	Hypoplasia of penis	hypoplasia of penis	Cong
HP_0000072	Hydroureter	hydroureter	True	581.32	Hydroureter	hydroureter	Genitourinary
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary
HP_0000083	Renal failure	renal failure	False	584	Renal failure	renal failure	Genitourinary
HP_0000086	Ectopic kidney	ectopic kidney	True	773.8	Ectopic kidney*	ectopic kidney	Cong
HP_0000089	Renal hypoplasia	renal hypoplasia	True	773.12	Renal hypoplasia*	renal hypoplasia	Cong
HP_0008678	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	True	773.1	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	Cong
HP_0000093	Proteinuria	proteinuria	True	830	Proteinuria	proteinuria	Signs/Symptoms
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True	580.3	Nephrotic syndrome	nephrotic syndrome	Genitourinary
HP_0000104	Renal agenesis	renal agenesis	True	773.11	Renal agenesis*	renal agenesis	Cong
HP_0000110	Renal dysplasia	renal dysplasia	True	773.2	Renal dysplasia	renal dysplasia	Cong
HP_0000126	Hydronephrosis	hydronephrosis	True	581.31	Hydronephrosis	hydronephrosis	Genitourinary
HP_0000138	Ovarian cyst	ovarian cyst	True	628	Ovarian cyst	ovarian cyst	Genitourinary
HP_0000154	Macrostomia	macrostomia	False	756.41	Macrostomia	macrostomia	Cong
HP_0000158	Macroglossia	macroglossia	True	759.2	Macroglossia	macroglossia	Cong
HP_0000160	Microstomia	microstomia	False	756.42	Microstomia	microstomia	Cong
HP_0000704	Periodontitis	periodontitis	True	504.3	Periodontitis	periodontitis	GI
HP_0000175	Cleft palate	cleft palate	True	757.1	Cleft palate	cleft palate	Cong
HP_0000202	Oral cleft	oral cleft	True	757	Oral cleft	oral cleft	Cong
HP_0000347	Mandibular hypoplasia	mandibular hypoplasia	False	733.14	Mandibular hypoplasia	mandibular hypoplasia	Musc/Skel
HP_0410030	Cleft lip	cleft lip	True	757.2	Cleft lip	cleft lip	Cong
HP_0000206	Glossitis	glossitis	True	509.1	Glossitis	glossitis	GI
HP_0000212	Gingival enlargement	gingival enlargement	False	504.4	Gingival enlargement*	gingival enlargement	GI
HP_0000217	Dry mouth	dry mouth	False	506.51	Dry mouth*	dry mouth	GI
HP_0000221	Plicated tongue	plicated tongue	False	509.5	Plicated tongue	plicated tongue	GI
HP_0000230	Gingivitis	gingivitis	True	504.1	Gingivitis	gingivitis	GI
HP_0000238	Hydrocephalus	hydrocephalus	True	344.1	Hydrocephalus	hydrocephalus	Neuro
HP_0000246	Sinusitis	sinusitis	True	462	Sinusitis	sinusitis	Resp
HP_0004330	Hyperostosis of skull	hyperostosis of skull	False	727.4	Hyperostosis of skull	hyperostosis of skull	Musc/Skel
HP_0000252	Microcephaly	microcephaly	True	750.11	Microcephaly	microcephaly	Cong
HP_0000255	Acute sinusitis	acute sinusitis	True	462.1	Acute sinusitis	acute sinusitis	Resp
HP_0000256	Macrocephaly	macrocephaly	True	758.4	Macrocephaly*	macrocephaly	Cong
HP_0000268	Dolichocephaly	dolichocephaly	True	758.21	Dolichocephaly*	dolichocephaly	Cong
HP_0000969	Edema	edema	True	812	Edema	edema	Signs/Symptoms
HP_0000303	Mandibular hyperplasia	mandibular hyperplasia	False	733.13	Mandibular hyperplasia	mandibular hyperplasia	Musc/Skel
HP_0000316	Hypertelorism	hypertelorism	True	758.5	Hypertelorism	hypertelorism	Cong
HP_0000317	Facial myokymia	facial myokymia	True	334.25	Facial myokymia*	facial myokymia	Neuro
HP_0000327	Maxillary hypoplasia	maxillary hypoplasia	False	733.12	Maxillary hypoplasia	maxillary hypoplasia	Musc/Skel
HP_0001028	Hemangioma	hemangioma	True	139.61	Hemangioma	hemangioma	Neoplasms
HP_0000360	Tinnitus	tinnitus	True	397.1	Tinnitus	tinnitus	Hearing
HP_0000362	Otosclerosis	otosclerosis	True	391.8	Otosclerosis	otosclerosis	Hearing
HP_0000365	Hearing impairment	hearing impairment	True	396	Hearing impairment	hearing impairment	Hearing
HP_0000371	Acute otitis media	acute otitis media	True	391.11	Acute otitis media	acute otitis media	Hearing
HP_0000388	Otitis media	otitis media	True	391.1	Otitis media	otitis media	Hearing
HP_0000389	Chronic otitis media	chronic otitis media	True	391.12	Chronic otitis media	chronic otitis media	Hearing
HP_0000400	Macrotia	macrotia	True	755.2	Macrotia	macrotia	Cong
HP_0000405	Conductive hearing loss	conductive hearing loss	False	396.1	Conductive hearing loss	conductive hearing loss	Hearing
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	396.2	Sensorineural hearing loss	sensorineural hearing loss	Hearing
HP_0000421	Epistaxis	epistaxis	True	487.1	Epistaxis	epistaxis	Resp
HP_0000453	Choanal atresia	choanal atresia	True	758.61	Choanal atresia	choanal atresia	Cong
HP_0000458	Anosmia	anosmia	True	352.1	Anosmia*	anosmia	Neuro
HP_0000471	Gastrointestinal angiodysplasia	gastrointestinal angiodysplasia	True	517	Gastrointestinal angiodysplasia	gastrointestinal angiodysplasia	GI
HP_0000473	Torticollis	torticollis	True	324.34	Torticollis	torticollis	Neuro
HP_0000589	Coloboma	coloboma	True	753.4	Coloboma	coloboma	Cong
HP_0000483	Astigmatism	astigmatism	True	387.3	Astigmatism	astigmatism	Eye
HP_0000486	Strabismus	strabismus	True	381	Strabismus	strabismus	Eye
HP_0000490	Enophthalmos	enophthalmos	False	365.1	Enophthalmos	enophthalmos	Eye
HP_0000491	Keratitis	keratitis	True	367.2	Keratitis	keratitis	Eye
HP_0000498	Blepharitis	blepharitis	True	360.4	Blepharitis	blepharitis	Eye
HP_0000498	Inflammation of eyelids	inflammation of eyelids	False	360	Inflammation of eyelids	inflammation of eyelids	Eye
HP_0000501	Glaucoma	glaucoma	True	375.1	Glaucoma	glaucoma	Eye
HP_0000509	Conjunctivitis	conjunctivitis	True	367.1	Conjunctivitis	conjunctivitis	Eye
HP_0000556	Retinal dystrophy	retinal dystrophy	True	374.7	Retinal dystrophy	retinal dystrophy	Eye
HP_0000518	Cataract	cataract	True	371	Cataract	cataract	Eye
HP_0000519	Congenital cataract	congenital cataract	False	753.23	Congenital cataract	congenital cataract	Cong
HP_0000523	Subcapsular cataract	subcapsular cataract	True	371.2	Subcapsular cataract	subcapsular cataract	Eye
HP_0008056	Aplasia/Hypoplasia affecting the eye	aplasiahypoplasia affecting the eye	True	753.1	Aplasia/Hypoplasia affecting the eye	aplasiahypoplasia affecting the eye	Cong
HP_0000531	Corneal deposits	corneal deposits	False	369.15	Corneal deposits	corneal deposits	Eye
HP_0000540	Hypermetropia	hypermetropia	True	387.1	Hypermetropia	hypermetropia	Eye
HP_0000602	Ophthalmoplegia	ophthalmoplegia	True	381.11	Ophthalmoplegia	ophthalmoplegia	Eye
HP_0000545	Myopia	myopia	True	387.2	Myopia	myopia	Eye
HP_0000554	Uveitis	uveitis	True	367.5	Uveitis	uveitis	Eye
HP_0000615	Pupillary abnormalities	pupillary abnormalities	False	370.41	Pupillary abnormalities	pupillary abnormalities	Eye
HP_0000563	Keratoconus	keratoconus	True	369.62	Keratoconus	keratoconus	Eye
HP_0000565	Esotropia	esotropia	True	381.3	Esotropia	esotropia	Eye
HP_0000568	Microphthalmos	microphthalmos	False	753.12	Microphthalmos	microphthalmos	Cong
HP_0000573	Retinal hemorrhage	retinal hemorrhage	True	377.4	Retinal hemorrhage	retinal hemorrhage	Eye
HP_0000573	Retinal haemorrhage	retinal hemorrhage	False	377.4	Retinal hemorrhage	retinal hemorrhage	Eye
HP_0011885	Hemorrhage of the eye	hemorrhage of the eye	True	377	Hemorrhage of the eye	hemorrhage of the eye	Eye
HP_0011885	Haemorrhage of the eye	hemorrhage of the eye	False	377	Hemorrhage of the eye	hemorrhage of the eye	Eye
HP_0000575	Scotoma	scotoma	True	386.41	Scotoma	scotoma	Eye
HP_0001123	Visual field defects	visual field defects	False	386.4	Visual field defects	visual field defects	Eye
HP_0000577	Exotropia	exotropia	True	381.4	Exotropia	exotropia	Eye
HP_0000581	Blepharophimosis	blepharophimosis	True	361.8	Blepharophimosis	blepharophimosis	Eye
HP_0000585	Band keratopathy	band keratopathy	True	369.43	Band keratopathy	band keratopathy	Eye
HP_0000592	Blue sclera	blue sclera	False	753.71	Blue sclera*	blue sclera	Cong
HP_0000608	Macular degeneration	macular degeneration	True	374.5	Macular degeneration	macular degeneration	Eye
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	380.13	Optic nerve hypoplasia	optic nerve hypoplasia	Eye
HP_0000616	Miosis	miosis	True	384.2	Miosis	miosis	Eye
HP_0000619	Impaired convergence	impaired convergence	True	382.1	Impaired convergence	impaired convergence	Eye
HP_0000620	Dacryocystitis	dacryocystitis	True	363.61	Dacryocystitis	dacryocystitis	Eye
HP_0000639	Nystagmus	nystagmus	True	383.1	Nystagmus	nystagmus	Eye
HP_0000643	Blepharospasm	blepharospasm	True	324.36	Blepharospasm	blepharospasm	Neuro
HP_0000646	Amblyopia	amblyopia	True	386.1	Amblyopia	amblyopia	Eye
HP_0000648	Optic atrophy	optic atrophy	True	380.3	Optic atrophy	optic atrophy	Eye
HP_0000651	Diplopia	diplopia	True	386.2	Diplopia	diplopia	Eye
HP_0002186	Apraxia	apraxia	True	894.2	Apraxia*	apraxia	Dev
HP_0000662	Night blindness	night blindness	False	386.6	Night blindness	night blindness	Eye
HP_0000670	Dental caries	dental caries	False	501	Dental caries	dental caries	GI
HP_0000674	Anodontia	anodontia	True	500.1	Anodontia	anodontia	GI
HP_0000712	Emotional lability	emotional lability	True	308.3	Emotional lability	emotional lability	Mental
HP_0000737	Irritability	irritability	True	308.1	Irritability	irritability	Mental
HP_0000738	Hallucinations	hallucinations	True	353.1	Hallucinations	hallucinations	Neuro
HP_0000756	Agoraphobia	agoraphobia	True	288.41	Agoraphobia	agoraphobia	Mental
HP_0000766	Pectus deformity	pectus deformity	False	786	Pectus deformity	pectus deformity	Cong
HP_0000767	Pectus excavatum	pectus excavatum	True	786.1	Pectus excavatum	pectus excavatum	Cong
HP_0000768	Pectus carinatum	pectus carinatum	True	786.2	Pectus carinatum	pectus carinatum	Cong
HP_0000776	Congenital diaphragmatic hernia	congenital diaphragmatic hernia	True	789.11	Congenital diaphragmatic hernia*	congenital diaphragmatic hernia	Cong
HP_0100790	Hernia	hernia	True	520	Hernia	hernia	GI
HP_0000790	Hematuria	hematuria	True	593	Hematuria	hematuria	Genitourinary
HP_0000798	Oligospermia	oligospermia	True	609.2	Oligospermia	oligospermia	Genitourinary
HP_0000819	Diabetes mellitus	diabetes mellitus	True	202	Diabetes mellitus	diabetes mellitus	Endo
HP_0000821	Hypothyroidism	hypothyroidism	True	200.1	Hypothyroidism	hypothyroidism	Endo
HP_0000822	Hypertension	hypertension	True	401	Hypertension	hypertension	Cardio
HP_0000823	Delayed puberty	delayed puberty	True	217.1	Delayed puberty	delayed puberty	Endo
HP_0001943	Hypoglycemia	hypoglycemia	True	205	Hypoglycemia	hypoglycemia	Endo
HP_0000826	Precocious puberty	precocious puberty	True	217.2	Precocious puberty	precocious puberty	Endo
HP_0000829	Hypoparathyroidism	hypoparathyroidism	True	208.1	Hypoparathyroidism	hypoparathyroidism	Endo
HP_0040075	Hypopituitarism	hypopituitarism	True	209.2	Hypopituitarism	hypopituitarism	Endo
HP_0040075	Hypopituitarism	hypopituitarism	True	209.22	Hypopituitarism NOS	hypopituitarism	Endo
HP_0004322	Short stature	short stature	True	890.3	Short stature	short stature	Dev
HP_0000843	Hyperparathyroidism	hyperparathyroidism	True	208.2	Hyperparathyroidism	hyperparathyroidism	Endo
HP_0000853	Goiter	goiter	True	200.2	Goiter	goiter	Endo
HP_0000853	Goitre	goiter	False	200.2	Goiter	goiter	Endo
HP_0000873	Diabetes insipidus	diabetes insipidus	True	209.21	Diabetes insipidus	diabetes insipidus	Endo
HP_0000867	Secondary hyperparathyroidism	secondary hyperparathyroidism	True	208.22	Secondary hyperparathyroidism	secondary hyperparathyroidism	Endo
HP_0000870	Hyperprolactinemia	hyperprolactinemia	False	209.13	Hyperprolactinemia*	hyperprolactinemia	Endo
HP_0002960	Autoimmune disease	autoimmune disease	False	181	Autoimmune disease	autoimmune disease	Blood
HP_0100646	Thyroiditis	thyroiditis	True	200.4	Thyroiditis	thyroiditis	Endo
HP_0002797	Osteolysis	osteolysis	True	726.6	Osteolysis*	osteolysis	Musc/Skel
HP_0000934	Chondrocalcinosis	chondrocalcinosis	True	703.2	Chondrocalcinosis	chondrocalcinosis	Musc/Skel
HP_0000939	Osteoporosis	osteoporosis	True	726.1	Osteoporosis	osteoporosis	Musc/Skel
HP_0000956	Acanthosis nigricans	acanthosis nigricans	True	674.23	Acanthosis nigricans	acanthosis nigricans	Derm
HP_0011368	Epidermal thickening	epidermal thickening	True	680	Epidermal thickening	epidermal thickening	Derm
HP_0000957	Cafe au lait spots	cafe au lait spots	False	674.21	Cafe au lait spots*	cafe au lait spots	Derm
HP_0000960	Sacral dimple	sacral dimple	True	790.5	Sacral dimple*	sacral dimple	Cong
HP_0000961	Cyanosis	cyanosis	True	498.2	Cyanosis	cyanosis	Resp
HP_0000970	Anhidrosis	anhidrosis	True	685.5	Anhidrosis	anhidrosis	Derm
HP_0000975	Hyperhidrosis	hyperhidrosis	True	685.8	Hyperhidrosis	hyperhidrosis	Derm
HP_0000980	Pallor	pallor	True	679.21	Pallor	pallor	Derm
HP_0000989	Pruritus	pruritus	True	679.4	Pruritus	pruritus	Derm
HP_0000995	Melanocytic nevi	melanocytic nevi	False	138.2	Melanocytic nevi*	melanocytic nevi	Neoplasms
HP_0000999	Pyoderma	pyoderma	True	679.5	Pyoderma	pyoderma	Derm
HP_0001004	Lymphedema	lymphedema	True	177.4	Lymphedema	lymphedema	Blood
HP_0001010	Hypopigmentation	hypopigmentation	False	674.1	Hypopigmentation	hypopigmentation	Derm
HP_0001903	Anemia	anemia	True	164	Anemia	anemia	Blood
HP_0001903	Anaemia	anemia	False	164	Anemia	anemia	Blood
HP_0001022	Albinism	albinism	True	240.13	Albinism*	albinism	Metab
HP_0001025	Urticaria	urticaria	True	666	Urticaria	urticaria	Derm
HP_0031284	Flushing	flushing	True	679.22	Flushing	flushing	Derm
HP_0001045	Vitiligo	vitiligo	True	674.11	Vitiligo	vitiligo	Derm
HP_0001047	Atopic dermatitis	atopic dermatitis	True	668.1	Atopic dermatitis	atopic dermatitis	Derm
HP_0001051	Seborrheic dermatitis	seborrheic dermatitis	True	668.2	Seborrheic dermatitis	seborrheic dermatitis	Derm
HP_0001061	Acne	acne	True	682.4	Acne	acne	Derm
HP_0001065	Striae atrophicae	striae atrophicae	False	675.2	Striae atrophicae	striae atrophicae	Derm
HP_0001067	Neurofibromatosis	neurofibromatosis	False	158	Neurofibromatosis	neurofibromatosis	Neoplasms
HP_0001082	Cholecystitis	cholecystitis	True	550.2	Cholecystitis	cholecystitis	GI
HP_0001085	Papilledema	papilledema	True	380.21	Papilledema	papilledema	Eye
HP_0001094	Iridocyclitis	iridocyclitis	True	367.52	Iridocyclitis	iridocyclitis	Eye
HP_0001095	Hypertensive retinopathy	hypertensive retinopathy	True	374.41	Hypertensive retinopathy	hypertensive retinopathy	Eye
HP_0001096	Keratoconjunctivitis	keratoconjunctivitis	True	367.3	Keratoconjunctivitis	keratoconjunctivitis	Eye
HP_0001097	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	True	367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Eye
HP_0001107	Ocular albinism	ocular albinism	True	240.131	Ocular albinism*	ocular albinism	Metab
HP_0001137	Alternating esotropia	alternating esotropia	True	381.31	Alternating esotropia	alternating esotropia	Eye
HP_0001138	Optic neuropathy	optic neuropathy	True	380.1	Optic neuropathy	optic neuropathy	Eye
HP_0001139	Choroideremia	choroideremia	True	373.31	Choroideremia	choroideremia	Eye
HP_0001144	Orbital cysts	orbital cysts	False	365.4	Orbital cysts	orbital cysts	Eye
HP_0001149	Lattice corneal dystrophy	lattice corneal dystrophy	True	369.52	Lattice corneal dystrophy	lattice corneal dystrophy	Eye
HP_0001159	Syndactyly	syndactyly	True	785.12	Syndactyly	syndactyly	Cong
HP_0011297	Abnormal digit morphology	abnormal digit morphology	True	785.1	Abnormal digit morphology	abnormal digit morphology	Cong
HP_0010442	Polydactyly	polydactyly	True	785.11	Polydactyly	polydactyly	Cong
HP_0100021	Cerebral palsy	cerebral palsy	True	341.1	Cerebral palsy	cerebral palsy	Neuro
HP_0001259	Coma	coma	True	355.1	Coma	coma	Neuro
HP_0001260	Dysarthria	dysarthria	True	356.1	Dysarthria	dysarthria	Neuro
HP_0002360	Sleep disturbances	sleep disturbances	False	333.8	Sleep disturbances	sleep disturbances	Neuro
HP_0001263	Delayed milestones	delayed milestones	False	891.4	Delayed milestones	delayed milestones	Dev
HP_0001278	Orthostatic hypotension	orthostatic hypotension	True	446.2	Orthostatic hypotension	orthostatic hypotension	Cardio
HP_0002615	Hypotension	hypotension	True	446	Hypotension	hypotension	Cardio
HP_0001281	Tetany	tetany	True	350.1	Tetany	tetany	Neuro
HP_0001287	Meningitis	meningitis	True	320	Meningitis	meningitis	Neuro
HP_0001287	Meningitis	meningitis	True	320.3	Meningitis NOS	meningitis	Neuro
HP_0001297	Stroke	stroke	True	431.1	Stroke	stroke	Cardio
HP_0001298	Encephalopathy	encephalopathy	True	345	Encephalopathy	encephalopathy	Neuro
HP_0001300	Parkinsonism	parkinsonism	True	324.1	Parkinsonism	parkinsonism	Neuro
HP_0001332	Dystonia	dystonia	True	324.3	Dystonia	dystonia	Neuro
HP_0002380	Fasciculation	fasciculation	False	325.12	Fasciculation*	fasciculation	Neuro
HP_0031826	Abnormal reflex	abnormal reflex	True	350.3	Abnormal reflex	abnormal reflex	Neuro
HP_0001334	Communicating hydrocephalus	communicating hydrocephalus	True	344.11	Communicating hydrocephalus	communicating hydrocephalus	Neuro
HP_0001336	Myoclonus	myoclonus	True	324.5	Myoclonus	myoclonus	Neuro
HP_0001337	Tremor	tremor	True	324.4	Tremor	tremor	Neuro
HP_0010628	Bell's palsy	bells palsy	False	334.21	Bell's palsy	bells palsy	Neuro
HP_0001350	Slurred speech	slurred speech	True	356.4	Slurred speech*	slurred speech	Neuro
HP_0001355	Megalencephaly	megalencephaly	True	750.3	Megalencephaly*	megalencephaly	Cong
HP_0001357	Plagiocephaly	plagiocephaly	True	758.22	Plagiocephaly*	plagiocephaly	Cong
HP_0001360	Holoprosencephaly	holoprosencephaly	True	750.15	Holoprosencephaly*	holoprosencephaly	Cong
HP_0001363	Craniosynostosis	craniosynostosis	True	758.23	Craniosynostosis*	craniosynostosis	Cong
HP_0001370	Rheumatoid arthritis	rheumatoid arthritis	True	705.1	Rheumatoid arthritis	rheumatoid arthritis	Musc/Skel
HP_0002827	Dislocation of hip	dislocation of hip	False	T830.6	Dislocation of hip	dislocation of hip	Trauma
HP_0001399	Hepatic failure	hepatic failure	True	542.3	Hepatic failure	hepatic failure	GI
HP_0002605	Hepatic necrosis	hepatic necrosis	True	546.1	Hepatic necrosis	hepatic necrosis	GI
HP_0006706	Cystic liver disease	cystic liver disease	True	766.2	Cystic liver disease	cystic liver disease	Cong
HP_0001409	Portal hypertension	portal hypertension	True	542.4	Portal hypertension	portal hypertension	GI
HP_0001433	Hepatosplenomegaly	hepatosplenomegaly	True	546.31	Hepatosplenomegaly*	hepatosplenomegaly	GI
HP_0001744	Splenomegaly	splenomegaly	True	174.2	Splenomegaly	splenomegaly	Blood
HP_0002240	Hepatomegaly	hepatomegaly	True	546.3	Hepatomegaly	hepatomegaly	GI
HP_0001513	Obesity	obesity	True	236.1	Obesity	obesity	Metab
HP_0001537	Umbilical hernia	umbilical hernia	True	520.13	Umbilical hernia	umbilical hernia	GI
HP_0001541	Ascites	ascites	True	555	Ascites	ascites	GI
HP_0001543	Gastroschisis	gastroschisis	True	789.22	Gastroschisis	gastroschisis	Cong
HP_0004397	Ectopic anus	ectopic anus	True	765.6	Ectopic anus*	ectopic anus	Cong
HP_0001561	Polyhydramnios	polyhydramnios	True	920.1	Polyhydramnios	polyhydramnios	Preg
HP_0001562	Oligohydramnios	oligohydramnios	True	920.2	Oligohydramnios	oligohydramnios	Preg
HP_0001571	Impacted teeth	impacted teeth	False	500.41	Impacted teeth*	impacted teeth	GI
HP_0001596	Alopecia	alopecia	True	684.1	Alopecia	alopecia	Derm
